gameid,date,home_team,away_team,goal,primary_assist,secondary_assist,game_situation,game_situation_general,gf_team,gf_team_game_number,ga_team,ga_team_game_number,GF_names,GA_names,GF_skaters,GA_skaters,GF1_name,GF2_name,GF3_name,GF4_name,GF5_name,GF6_name,GA1_name,GA2_name,GA3_name,GA4_name,GA5_name,GA6_name
441813,2019-09-17,IK Oskarshamn,Leksands IF,Nicklas Heinerö,Jesper Dahlroth,Gustaf Franzén,5v5,EV,IK Oskarshamn,2,Leksands IF,2,Jesper DahlrothNicklas HeineröGustaf FranzénJohan AlmTex WilliamssonGKFilip Sveningsson,Calle SjälinLucas NordsäterJon KnutsDavid RundqvistJanne JuvonenGKMartin Karlsson,5,5,Jesper Dahlroth,Nicklas Heinerö,Gustaf Franzén,Johan Alm,Tex WilliamssonGK,Filip Sveningsson,Calle Själin,Lucas Nordsäter,Jon Knuts,David Rundqvist,Janne JuvonenGK,Martin Karlsson
441813,2019-09-17,IK Oskarshamn,Leksands IF,John Dahlström,,,4v6ENG,ENG,IK Oskarshamn,2,Leksands IF,2,Jesper DahlrothGustaf FranzénJohn DahlströmOskar NilssonTex WilliamssonGKNA,Daniel GunnarssonThomas Valkvae-OlsenPatrik ZackrissonMarek HrivikJonas AhnelövMartin Karlsson,4,6,Jesper Dahlroth,Gustaf Franzén,John Dahlström,Oskar Nilsson,Tex WilliamssonGK,NA,Daniel Gunnarsson,Thomas Valkvae-Olsen,Patrik Zackrisson,Marek Hrivik,Jonas Ahnelöv,Martin Karlsson
441844,2019-09-28,Rögle BK,Leksands IF,Nils Höglander,Dominik Bokk,Mattias Sjögren,5v5,EV,Rögle BK,6,Leksands IF,6,Daniel BertovMattias SjögrenNils HöglanderRoman WillGKDominik BokkEric Gelinas,Calle SjälinFilip JohanssonJon KnutsDavid RundqvistJanne JuvonenGKMartin Karlsson,5,5,Daniel Bertov,Mattias Sjögren,Nils Höglander,Roman WillGK,Dominik Bokk,Eric Gelinas,Calle Själin,Filip Johansson,Jon Knuts,David Rundqvist,Janne JuvonenGK,Martin Karlsson
441844,2019-09-28,Rögle BK,Leksands IF,Taylor Matson,Leon Bristedt,Mattias Sjögren,5v5,EV,Rögle BK,6,Leksands IF,6,Kodie CurranMattias SjögrenTaylor MatsonNiklas HanssonRoman WillGKLeon Bristedt,August BergDaniel Olsson-TrkuljaAndré HultJanne JuvonenGKJonas AhnelövMartin Karlsson,5,5,Kodie Curran,Mattias Sjögren,Taylor Matson,Niklas Hansson,Roman WillGK,Leon Bristedt,August Berg,Daniel Olsson-Trkulja,André Hult,Janne JuvonenGK,Jonas Ahnelöv,Martin Karlsson
441850,2019-10-03,Leksands IF,Frölunda HC,Johan Sundström,Lucas Raymond,Patrik Carlsson,5v5,EV,Frölunda HC,7,Leksands IF,7,Karl StolleryLucas RaymondJohan SundströmJohan MattssonGKTheodor LennströmPatrik Carlsson,Calle SjälinFilip JohanssonJon KnutsOskar LangAxel BrageGKMartin Karlsson,5,5,Karl Stollery,Lucas Raymond,Johan Sundström,Johan MattssonGK,Theodor Lennström,Patrik Carlsson,Calle Själin,Filip Johansson,Jon Knuts,Oskar Lang,Axel BrageGK,Martin Karlsson
441860,2019-10-10,Färjestad BK,Leksands IF,Sebastian Erixon,Michael Lindqvist,Marcus Nilsson,5v5,EV,Färjestad BK,9,Leksands IF,9,Marcus NilssonGustav RydahlLinus ArnessonMichael LindqvistSebastian ErixonArvid HolmGK,August BergLucas NordsäterJon KnutsMattias RitolaJanne JuvonenGKMartin Karlsson,5,5,Marcus Nilsson,Gustav Rydahl,Linus Arnesson,Michael Lindqvist,Sebastian Erixon,Arvid HolmGK,August Berg,Lucas Nordsäter,Jon Knuts,Mattias Ritola,Janne JuvonenGK,Martin Karlsson
441877,2019-10-17,Luleå HF,Leksands IF,Petter Emanuelsson,Noel Gunler,Jack Connolly,5v5,EV,Luleå HF,11,Leksands IF,11,Noel GunlerPetter EmanuelssonJack ConnollyJesper SellgrenJoel LassinanttiGKDaniel Sondell,Johan FranssonJon KnutsSebastian WännströmMattias GöranssonJanne JuvonenGKMartin Karlsson,5,5,Noel Gunler,Petter Emanuelsson,Jack Connolly,Jesper Sellgren,Joel LassinanttiGK,Daniel Sondell,Johan Fransson,Jon Knuts,Sebastian Wännström,Mattias Göransson,Janne JuvonenGK,Martin Karlsson
441877,2019-10-17,Luleå HF,Leksands IF,Jonas Berglund,Juhani Tyrväinen,,4v5,SH,Luleå HF,11,Leksands IF,11,Jonas BerglundJuhani TyrväinenOscar EngsundJoel LassinanttiGKPontus SjälinNA,Johan FranssonOskar LangPatrik ZackrissonMarek HrivikJanne JuvonenGKMartin Karlsson,4,5,Jonas Berglund,Juhani Tyrväinen,Oscar Engsund,Joel LassinanttiGK,Pontus Själin,NA,Johan Fransson,Oskar Lang,Patrik Zackrisson,Marek Hrivik,Janne JuvonenGK,Martin Karlsson
441858,2019-10-31,Växjö Lakers HC,Leksands IF,Linus Högberg,,,5v5,EV,Växjö Lakers HC,15,Leksands IF,15,Linus HögbergIlari MelartEmil PetterssonJakob Forsbacka-KarlssonBrendan ShinniminViktor AndrénGK,Johan FranssonFredrik ForsbergJon KnutsMattias KarlssonAxel BrageGKMartin Karlsson,5,5,Linus Högberg,Ilari Melart,Emil Pettersson,Jakob Forsbacka-Karlsson,Brendan Shinnimin,Viktor AndrénGK,Johan Fransson,Fredrik Forsberg,Jon Knuts,Mattias Karlsson,Axel BrageGK,Martin Karlsson
441930,2019-11-21,Frölunda HC,Leksands IF,Mats Rosseli Olsen,Julius Bergman,Nicklas Lasu,5v5,EV,Frölunda HC,19,Leksands IF,19,Nicklas LasuTheodor LennströmNiklas RubinGKRhett RakhshaniMats Rosseli OlsenJulius Bergman,Johan FranssonFredrik ForsbergDaniel Olsson-TrkuljaJanne JuvonenGKJonas AhnelövMartin Karlsson,5,5,Nicklas Lasu,Theodor Lennström,Niklas RubinGK,Rhett Rakhshani,Mats Rosseli Olsen,Julius Bergman,Johan Fransson,Fredrik Forsberg,Daniel Olsson-Trkulja,Janne JuvonenGK,Jonas Ahnelöv,Martin Karlsson
