date,homeTeam,awayTeam,combinedTeams,Venue
9/15/18,Linköping HC,Timrå IK,Linköping HC-Timrå IK,Saab Arena
9/15/18,Mora IK,Örebro HK,Mora IK-Örebro HK,Jalas Arena
9/15/18,Frölunda HC,Djurgårdens IF,Frölunda HC-Djurgårdens IF,Scandinavium
9/15/18,Färjestad BK,HV 71,Färjestad BK-HV 71,Löfbergs Arena
9/15/18,Luleå HF,Brynäs IF,Luleå HF-Brynäs IF,Coop Norrbotten Arena
9/15/18,Skellefteå AIK,Rögle BK,Skellefteå AIK-Rögle BK,Skellefteå Kraft Arena
9/20/18,Färjestad BK,Skellefteå AIK,Färjestad BK-Skellefteå AIK,Löfbergs Arena
9/20/18,Luleå HF,Örebro HK,Luleå HF-Örebro HK,Coop Norrbotten Arena
9/20/18,Mora IK,IF Malmö Redhawks,Mora IK-IF Malmö Redhawks,Jalas Arena
9/20/18,Brynäs IF,Frölunda HC,Brynäs IF-Frölunda HC,Gavlerinken Arena
9/20/18,Djurgårdens IF,Rögle BK,Djurgårdens IF-Rögle BK,"Hovet, Johanneshov"
9/20/18,Linköping HC,HV 71,Linköping HC-HV 71,Saab Arena
9/20/18,Timrå IK,Växjö Lakers HC,Timrå IK-Växjö Lakers HC,NHK Arena
9/22/18,HV 71,Luleå HF,HV 71-Luleå HF,Kinnarps Arena
9/22/18,IF Malmö Redhawks,Färjestad BK,IF Malmö Redhawks-Färjestad BK,Malmö Arena
9/22/18,Frölunda HC,Mora IK,Frölunda HC-Mora IK,Scandinavium
9/22/18,Skellefteå AIK,Timrå IK,Skellefteå AIK-Timrå IK,Skellefteå Kraft Arena
9/22/18,Örebro HK,Djurgårdens IF,Örebro HK-Djurgårdens IF,Behrn Arena
9/22/18,Rögle BK,Brynäs IF,Rögle BK-Brynäs IF,Lindab Arena
9/22/18,Växjö Lakers HC,Linköping HC,Växjö Lakers HC-Linköping HC,Vida Arena
9/27/18,Luleå HF,Skellefteå AIK,Luleå HF-Skellefteå AIK,Coop Norrbotten Arena
9/27/18,Brynäs IF,Växjö Lakers HC,Brynäs IF-Växjö Lakers HC,Gavlerinken Arena
9/27/18,Örebro HK,Linköping HC,Örebro HK-Linköping HC,Behrn Arena
9/27/18,Djurgårdens IF,Mora IK,Djurgårdens IF-Mora IK,"Hovet, Johanneshov"
9/27/18,Rögle BK,Frölunda HC,Rögle BK-Frölunda HC,Lindab Arena
9/27/18,HV 71,IF Malmö Redhawks,HV 71-IF Malmö Redhawks,Kinnarps Arena
9/27/18,Timrå IK,Färjestad BK,Timrå IK-Färjestad BK,NHK Arena
9/29/18,Skellefteå AIK,HV 71,Skellefteå AIK-HV 71,Skellefteå Kraft Arena
9/29/18,Linköping HC,Luleå HF,Linköping HC-Luleå HF,Saab Arena
9/29/18,IF Malmö Redhawks,Djurgårdens IF,IF Malmö Redhawks-Djurgårdens IF,Malmö Arena
9/29/18,Mora IK,Brynäs IF,Mora IK-Brynäs IF,Jalas Arena
9/29/18,Växjö Lakers HC,Örebro HK,Växjö Lakers HC-Örebro HK,Vida Arena
10/2/18,Skellefteå AIK,Växjö Lakers HC,Skellefteå AIK-Växjö Lakers HC,Skellefteå Kraft Arena
10/2/18,Linköping HC,Brynäs IF,Linköping HC-Brynäs IF,Saab Arena
10/2/18,IF Malmö Redhawks,Frölunda HC,IF Malmö Redhawks-Frölunda HC,Malmö Arena
